JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    122        6.66        3       1       50.8          0.0       0.0       0.0          0.31         19
    123        6.69       10       1       33.7          0.0       0.0       0.0          0.13         45
    124        6.85        6       3       41.4          0.0       0.0       0.0          0.63         30
    125        6.93        5       1       56.4        -45.0      20.0      16.0          0.68         31
    126        6.93        1       3        0.0          0.0       0.0       0.0          1.93          3
    127        7.04        9       1       48.4          0.0       0.0       0.0          0.18         13
    128        7.07        9       1       46.2          0.0       0.0       0.0          0.45         56
    129        7.08        4       1       39.1          0.0       0.0       0.0          0.01         43
    130        7.09       10       1       34.6          0.0       0.0       0.0          0.28         44
    131        7.11       11       2       12.7          0.0       0.0       0.0          1.01         37
    132        7.22        8       1       55.4          0.0       0.0       0.0          0.00         45
    133        7.36        8       1       40.7          0.0       0.0       0.0          0.00         22
    134        7.45        6       7       11.9          0.0       0.0       0.0          0.77         36
    135        7.53        3       1       55.5          0.0       0.0       0.0          0.59         54
    136        7.69        8       2       43.0          0.0       0.0       0.0          0.00         26
    137        7.83        6       9       16.3          0.0       0.0       0.0          1.22         53
    138        8.08        9       1       50.0          0.0       0.0       0.0          0.26          4
    139        8.13        9       1       35.4          0.0       0.0       0.0          0.41         35
    140        8.16        2       1       30.8          0.0       0.0       0.0          0.54         13
    141        8.29       12       1       50.5          0.0       0.0       0.0          0.56         55
    142        8.47        5       3       27.4         44.0      44.0     -16.0          0.00          8
    143        8.47        8       1       35.6          0.0       0.0       0.0          0.00         12
    144        8.48        6       2       51.2          0.0       0.0       0.0          1.06         34
    145        8.48        3       1       53.0          0.0       0.0       0.0          0.57         32
    146        8.58       11       1       44.6          0.0       0.0       0.0          0.11          6
    147        8.67        3       1       60.7          0.0       0.0       0.0          0.48         41
    148        8.77        9       1       67.2          0.0       0.0       0.0          0.13         26
    149        8.82        1       1        0.0          0.0       0.0       0.0          1.32         28
    150        8.87        4       1       64.3          0.0       0.0       0.0          0.01         57

JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    151        8.90       10       1       41.5          0.0       0.0       0.0          0.41         27
    152        8.91        1       7        0.0          0.0       0.0       0.0          0.51         27
