JW=  1    A=   74.38    NA=    93    Q(I)=0.07/0.02/0.16/0.20/0.12/0.04/0.05/0.10/0.14/0.06/0.01/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
     99       30.28        6       4       38.9          0.0       0.0       0.0          2.42         61
    100       30.77        6       1       44.7          0.0       0.0       0.0          2.48         45

JW=  2    A=   27.26    NA=   106    Q(I)=0.05/0.01/0.01/0.01/0.06/0.20/0.11/0.28/0.08/0.15/0.03/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    101       31.11        6       8       67.4          0.0       0.0       0.0          2.52         34
    102       31.26        8       2       36.0          0.0       0.0       0.0          0.00         25
    103       31.75        6       4       49.1          0.0       0.0       0.0          2.67         15
    104       31.84        5       1       69.0        -30.0      19.0     -19.0          2.16         27
    105       31.86        9       1       47.7          0.0       0.0       0.0          0.16         63
    106       32.13        6       7       11.2          0.0       0.0       0.0          0.66         28

JW=  3    A=   69.23    NA=     6    Q(I)=0.18/0.08/0.03/0.03/0.16/0.05/0.02/0.02/0.05/0.07/0.03/0.27/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        1       3        0.0          0.0       0.0       0.0          7.14          8
      2        6.94        5       1       52.7         -3.0       8.0      -9.0          3.67         34
      3       10.95        7       2       32.1          0.0       0.0       0.0          0.00         36
      4       18.21        5       1       69.7          0.0       1.0      -1.0          6.63         12
      5       29.20       12       2       41.2          0.0       0.0       0.0          4.98         58
      6       55.47        6       7       10.7          0.0       0.0       0.0          5.87         11

JW=  4    A=    1.32    NA=     1    Q(I)=0.07/0.10/0.03/0.04/0.25/0.08/0.02/0.02/0.07/0.15/0.12/0.04/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00       10       1       45.1          0.0       0.0       0.0          2.00         59

JW=  5    A=    4.73    NA=     2    Q(I)=0.05/0.13/0.04/0.04/0.12/0.05/0.02/0.02/0.05/0.18/0.22/0.09/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        5       2       47.8         -7.0       5.0     -11.0          5.67         20
      2        0.47        6       7       10.8          0.0       0.0       0.0          2.49         53

JW=  6    A=    0.87    NA=     4    Q(I)=0.02/0.01/0.01/0.01/0.03/0.13/0.13/0.36/0.05/0.18/0.03/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00       10       1       57.5          0.0       0.0       0.0          0.25         25
      2        0.20        8       1       65.1          0.0       0.0       0.0          0.00         35
      3        0.62        8       2       22.3          0.0       0.0       0.0          0.00         29
      4        0.88        8       1       48.8          0.0       0.0       0.0          0.00         28

JW=  7    A=   24.12    NA=    65    Q(I)=0.01/0.01/0.02/0.02/0.01/0.10/0.15/0.40/0.04/0.19/0.03/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        7       2       20.5          0.0       0.0       0.0          0.00         21
      2        0.25        6       8       80.8          0.0       0.0       0.0          4.52         32
      3        0.36       10       1       54.6          0.0       0.0       0.0          0.17         42
      4        0.39        8       1       42.2          0.0       0.0       0.0          0.00         18
      5        1.09        8       2       29.5          0.0       0.0       0.0          0.00         16
      6        1.12        7       1       42.0          0.0       0.0       0.0          0.00         27
      7        1.33        8       2       35.2          0.0       0.0       0.0          0.00         13
      8        1.48        7       1       47.5          0.0       0.0       0.0          0.00         31
      9        1.53       10       1       47.4          0.0       0.0       0.0          0.83         44
     10        1.86        7       2       40.2          0.0       0.0       0.0          0.00         15
     11        2.26        1       9        0.0          0.0       0.0       0.0          2.82         34
     12        2.51        7       1       46.7          0.0       0.0       0.0          0.00         56
     13        2.69        9       1       59.3          0.0       0.0       0.0          1.52         20
     14        3.68        8       1       41.3          0.0       0.0       0.0          0.00         38
     15        3.69        8       1       59.9          0.0       0.0       0.0          0.00         15
     16        5.69       10       1       62.4          0.0       0.0       0.0          0.81         45
     17        6.24       10       1       52.3          0.0       0.0       0.0          0.63         11
     18        6.36       10       1       46.8          0.0       0.0       0.0          1.12         48
     19        6.54       10       1       47.6          0.0       0.0       0.0          0.47         19
     20        7.36       10       1       58.8          0.0       0.0       0.0          0.50         33
     21        7.36        7       1       45.6          0.0       0.0       0.0          0.00         43
     22        7.36       10       1       62.8          0.0       0.0       0.0          0.20         15
     23        7.57        7       1       45.3          0.0       0.0       0.0          0.00         36
     24        7.65        9       1       49.4          0.0       0.0       0.0          0.90          1
     25        7.78        6       5       51.6          0.0       0.0       0.0          1.03         28
     26        7.81        8       1       57.9          0.0       0.0       0.0          0.00         26
     27        7.83       12       1       68.9          0.0       0.0       0.0          5.21         33
     28        8.10        7       1       60.0          0.0       0.0       0.0          0.00         18
     29        8.30        2       1       31.0          0.0       0.0       0.0          5.19         53
     30        8.34        9       1       56.5          0.0       0.0       0.0          1.11         49
     31        9.18        8       1       49.1          0.0       0.0       0.0          0.00         23
     32        9.25        9       1       32.7          0.0       0.0       0.0          1.93         25
     33        9.45        2       1       40.6          0.0       0.0       0.0          2.75         29
     34        9.95        8       1       44.3          0.0       0.0       0.0          0.00         22
     35       10.53        7       1       57.7          0.0       0.0       0.0          0.00          8
     36       10.58        6       1       42.5          0.0       0.0       0.0          4.55         56
     37       11.11        8       1       64.0          0.0       0.0       0.0          0.00         41
     38       11.24        8       1       57.9          0.0       0.0       0.0          0.00         52
     39       11.87        9       1       34.2          0.0       0.0       0.0          0.84         38
     40       12.04        8       1       63.5          0.0       0.0       0.0          0.00         40
     41       12.27        8       2       33.6          0.0       0.0       0.0          0.00         29
     42       12.73        8       1       48.7          0.0       0.0       0.0          0.00         40
     43       12.81        6       2       52.4          0.0       0.0       0.0          2.47          7
     44       13.30        8       1       39.0          0.0       0.0       0.0          0.00         33
     45       14.01        6       6       25.5          0.0       0.0       0.0          0.99         33
     46       14.03       10       1       49.5          0.0       0.0       0.0          0.19         38
     47       14.43        8       1       42.0          0.0       0.0       0.0          0.00         23
     48       14.44        8       2       44.4          0.0       0.0       0.0          0.00         23
